Town/County,FIPS,Year,Category,Measure Type,Variable,Value
Andover,901301080,2004,All Industries,Number,Number of Employers,59
Andover,901301080,2004,All Industries,Number,Annual Average Employment,527
Andover,901301080,2004,All Industries,US Dollars,Annual Average Wage,27605
Andover,901301080,2004,Government,Number,Number of Employers,5
Andover,901301080,2004,Government,Number,Annual Average Employment,88
Andover,901301080,2004,Government,US Dollars,Annual Average Wage,31927
Andover,901301080,2005,All Industries,US Dollars,Annual Average Wage,27807
Andover,901301080,2005,All Industries,Number,Annual Average Employment,570
Andover,901301080,2005,All Industries,Number,Number of Employers,51
Andover,901301080,2005,Government,US Dollars,Annual Average Wage,34176
Andover,901301080,2005,Government,Number,Number of Employers,5
Andover,901301080,2005,Government,Number,Annual Average Employment,81
Andover,901301080,2006,All Industries,US Dollars,Annual Average Wage,28713
Andover,901301080,2006,All Industries,Number,Number of Employers,55
Andover,901301080,2006,All Industries,Number,Annual Average Employment,565
Andover,901301080,2006,Government,Number,Number of Employers,5
Andover,901301080,2006,Government,US Dollars,Annual Average Wage,33568
Andover,901301080,2006,Government,Number,Annual Average Employment,88
Andover,901301080,2007,All Industries,Number,Number of Employers,54
Andover,901301080,2007,All Industries,Number,Annual Average Employment,570
Andover,901301080,2007,All Industries,US Dollars,Annual Average Wage,30127
Andover,901301080,2007,Government,Number,Number of Employers,5
Andover,901301080,2007,Government,Number,Annual Average Employment,94
Andover,901301080,2007,Government,US Dollars,Annual Average Wage,34781
Andover,901301080,2008,All Industries,Number,Annual Average Employment,578
Andover,901301080,2008,All Industries,US Dollars,Annual Average Wage,31183
Andover,901301080,2008,All Industries,Number,Number of Employers,51
Andover,901301080,2008,Government,US Dollars,Annual Average Wage,36059
Andover,901301080,2008,Government,Number,Annual Average Employment,100
Andover,901301080,2008,Government,Number,Number of Employers,5
Andover,901301080,2009,All Industries,Number,Annual Average Employment,570
Andover,901301080,2009,All Industries,Number,Number of Employers,54
